Edad,Rotacion,ViajesNegocio,TarifaDiaria,Departamento,DistanciaCasa,Educacion,CampoEducativo,NumeroEmpleados,SatisfaccionEntorno,Genero,TarifaHora,Involucramiento,NivelPuesto,RolTrabajo,SatisfaccionLaboral,EstadoCivil,IngresoMensual,TarifaMensual,NumEmpresas,Mayor18,HorasExtra,PorcentajeAumento,Rendimiento,SatisfaccionRelacion,HorasEstandar,NivelStock,AniosTotales,CapacitacionesAnio,BalanceVidaTrabajo,AniosEmpresa,AniosRolActual,AniosDesdeAscenso,AniosConJefe
24,yes,travel_rarely,813,research & development,1,3,medical,1,2,male,61,3,1,research scientist,4,married,2293,3020,2,y,yes,16,3,1,80,1,6,2,2,2,0,2,0
43,no,travel_rarely,1273,research & development,2,2,medical,1,4,female,72,4,1,research scientist,3,divorced,2645,21923,1,y,no,12,3,4,80,2,6,3,2,5,3,1,4
50,yes,travel_rarely,869,sales,3,2,marketing,1,1,male,86,2,1,sales representative,3,married,2683,3810,1,y,yes,14,3,3,80,0,3,2,3,3,2,0,2
35,no,travel_rarely,890,sales,2,3,marketing,1,4,female,97,3,1,sales representative,4,married,2014,9687,1,y,no,13,3,1,80,0,2,3,3,2,2,2,2
33,no,travel_frequently,1141,sales,1,3,life sciences,1,3,female,42,4,2,sales executive,1,married,5376,3193,2,y,no,19,3,1,80,2,10,3,3,5,3,1,3
35,no,travel_rarely,464,research & development,4,2,other,1,3,male,75,3,1,laboratory technician,4,divorced,1951,10910,1,y,no,12,3,3,80,1,1,3,3,1,0,0,0
26,yes,travel_rarely,1357,research & development,25,3,life sciences,1,1,male,48,1,1,laboratory technician,3,single,2293,10558,1,y,no,12,3,3,80,0,1,2,2,1,0,0,1
35,no,travel_rarely,1229,research & development,8,1,life sciences,1,4,male,36,4,1,laboratory technician,4,married,2269,4892,1,y,no,19,3,4,80,0,1,2,3,1,0,0,1
28,yes,travel_rarely,1434,research & development,5,4,technical degree,1,3,male,50,3,1,laboratory technician,3,single,3441,11179,1,y,yes,13,3,3,80,0,2,3,2,2,2,2,2
35,no,non-travel,1097,research & development,11,2,medical,1,3,male,79,2,3,healthcare representative,1,married,9884,8302,2,y,yes,13,3,3,80,1,10,3,3,4,0,2,3
26,no,travel_rarely,1443,sales,23,3,marketing,1,3,female,47,2,2,sales executive,4,married,4157,21436,7,y,yes,19,3,3,80,1,5,2,2,2,2,0,0
35,no,travel_rarely,1142,research & development,23,4,medical,1,3,female,30,3,1,laboratory technician,1,married,4014,16002,3,y,yes,15,3,3,80,1,4,3,3,2,2,2,2
37,no,travel_rarely,1115,research & development,1,4,life sciences,1,1,male,51,2,2,manufacturing director,3,divorced,5993,2689,1,y,no,18,3,3,80,1,7,2,4,7,5,0,7
36,no,travel_frequently,1195,research & development,11,3,life sciences,1,2,male,95,2,2,manufacturing director,2,single,6499,22656,1,y,no,13,3,3,80,0,6,3,3,6,5,0,3
45,no,travel_rarely,1339,research & development,7,3,life sciences,1,2,male,59,3,3,research scientist,1,divorced,9724,18787,2,y,no,17,3,3,80,1,25,2,3,1,0,0,0
35,no,travel_frequently,664,research & development,1,3,medical,1,2,male,79,3,1,research scientist,1,married,2194,5868,4,y,no,13,3,4,80,1,5,2,2,3,2,1,2
59,no,travel_frequently,1225,sales,1,1,life sciences,1,1,female,57,2,2,sales executive,3,single,5473,24668,7,y,no,11,3,4,80,0,20,2,2,4,3,1,3
31,no,travel_rarely,1082,research & development,1,4,medical,1,3,male,87,3,1,research scientist,2,single,2501,18775,1,y,no,17,3,2,80,0,1,4,3,1,1,1,0
32,no,travel_rarely,548,research & development,1,3,life sciences,1,2,male,66,3,2,research scientist,2,married,6220,7346,1,y,no,17,3,2,80,2,10,3,3,10,4,0,9
36,no,travel_rarely,132,research & development,6,3,life sciences,1,2,female,55,4,1,laboratory technician,4,married,3038,22002,3,y,no,12,3,2,80,0,5,3,3,1,0,0,0
35,no,travel_rarely,776,sales,1,4,marketing,1,3,male,32,2,2,sales executive,1,single,4312,23016,0,y,no,14,3,2,80,0,16,2,3,15,13,2,8
45,no,travel_rarely,193,research & development,6,4,other,1,4,male,52,3,3,research director,1,married,13245,15067,4,y,yes,14,3,2,80,0,17,3,4,0,0,0,0
37,no,travel_rarely,397,research & development,7,4,medical,1,1,male,30,3,3,research director,3,single,13664,25258,4,y,no,13,3,1,80,0,16,3,4,5,2,0,2
30,no,travel_rarely,852,research & development,1,1,life sciences,1,4,male,55,2,2,laboratory technician,4,married,5126,15998,1,y,yes,12,3,3,80,2,10,1,2,10,8,3,0
35,no,travel_rarely,1214,research & development,1,3,medical,1,2,male,30,2,1,research scientist,3,single,2859,26278,1,y,no,18,3,1,80,0,6,3,3,6,4,0,4
55,no,travel_rarely,111,sales,1,2,life sciences,1,1,male,70,3,3,sales executive,4,married,10239,18092,3,y,no,14,3,4,80,1,24,4,3,1,0,1,0
34,no,travel_rarely,1153,research & development,1,2,medical,1,1,male,94,3,2,manufacturing director,2,married,4325,17736,1,y,no,15,3,3,80,0,5,2,3,5,2,1,3
23,no,travel_rarely,541,sales,2,1,technical degree,1,3,male,62,3,1,sales representative,1,divorced,2322,9518,3,y,no,13,3,3,80,1,3,3,3,0,0,0,0
46,yes,travel_rarely,669,sales,9,2,medical,1,3,male,64,2,3,sales executive,4,single,9619,13596,1,y,no,16,3,4,80,0,9,3,3,9,8,4,7
28,no,non-travel,120,sales,4,3,medical,1,2,male,43,3,2,sales executive,3,married,4221,8863,1,y,no,15,3,2,80,0,5,3,4,5,4,0,4
44,no,non-travel,489,research & development,23,3,medical,1,2,male,67,3,2,laboratory technician,2,married,2042,25043,4,y,no,12,3,3,80,1,17,3,4,3,2,1,2
32,no,travel_rarely,827,research & development,1,1,life sciences,1,4,male,71,3,1,research scientist,1,single,2956,15178,1,y,no,13,3,4,80,0,1,2,3,1,0,0,0
34,no,travel_rarely,665,research & development,6,4,other,1,1,female,41,3,2,research scientist,3,single,4809,12482,1,y,no,14,3,3,80,0,16,3,3,16,13,2,10
37,no,non-travel,1040,research & development,2,2,life sciences,1,3,male,100,2,2,healthcare representative,4,divorced,5163,15850,5,y,no,14,3,4,80,1,17,2,4,1,0,0,0
25,yes,travel_rarely,240,sales,5,3,marketing,1,3,male,46,2,2,sales executive,3,single,5744,26959,1,y,yes,11,3,4,80,0,6,1,3,6,4,0,3
25,no,travel_rarely,1280,research & development,7,1,medical,1,4,male,64,2,1,research scientist,4,married,2889,26897,1,y,no,11,3,3,80,2,2,2,3,2,2,2,1
24,no,travel_rarely,1127,research & development,18,1,life sciences,1,2,male,52,3,1,laboratory technician,3,married,2774,13257,0,y,no,12,3,3,80,1,6,2,3,5,3,1,2
34,no,travel_rarely,1031,research & development,6,4,life sciences,1,3,female,45,2,2,research scientist,2,divorced,4505,15000,6,y,no,15,3,3,80,1,12,3,3,1,0,0,0
37,no,travel_rarely,1189,sales,3,3,life sciences,1,3,male,87,3,3,sales executive,4,single,7428,14506,2,y,no,12,3,1,80,0,12,3,3,5,3,1,3
33,no,non-travel,750,sales,22,2,marketing,1,3,male,95,3,2,sales executive,2,married,6146,15480,0,y,no,13,3,1,80,1,8,2,4,7,7,0,7
31,yes,travel_rarely,249,sales,6,4,life sciences,1,2,male,76,1,2,sales executive,3,married,6172,20739,4,y,yes,18,3,2,80,0,12,3,2,7,7,7,7
26,no,travel_rarely,841,research & development,6,3,other,1,3,female,46,2,1,research scientist,2,married,2368,23300,1,y,no,19,3,3,80,0,5,3,2,5,4,4,3
19,yes,travel_rarely,528,sales,22,1,marketing,1,4,male,50,3,1,sales representative,3,single,1675,26820,1,y,yes,19,3,4,80,0,0,2,2,0,0,0,0
22,no,travel_rarely,594,research & development,2,1,technical degree,1,3,male,100,3,1,laboratory technician,4,married,2523,19299,0,y,no,14,3,3,80,1,3,2,3,2,1,2,1
49,no,travel_rarely,470,research & development,20,4,medical,1,3,female,96,3,2,manufacturing director,1,married,6567,5549,1,y,no,14,3,3,80,0,16,2,2,15,11,5,11
43,no,travel_frequently,957,research & development,28,3,medical,1,2,female,72,4,1,research scientist,3,single,4739,16090,4,y,no,12,3,4,80,0,18,2,3,3,2,1,2
50,no,travel_frequently,809,sales,12,3,marketing,1,3,female,77,3,3,sales executive,4,single,9208,6645,4,y,no,11,3,4,80,0,16,3,3,2,2,2,1
31,yes,travel_rarely,542,sales,20,3,life sciences,1,2,female,71,1,2,sales executive,3,married,4559,24788,3,y,yes,11,3,3,80,1,4,2,3,2,2,2,2
41,no,travel_rarely,802,sales,9,1,life sciences,1,3,male,96,3,3,sales executive,3,divorced,8189,21196,3,y,yes,13,3,3,80,1,12,2,3,9,7,0,7
51,yes,travel_frequently,1150,research & development,8,4,life sciences,1,1,male,53,1,3,manufacturing director,4,single,10650,25150,2,y,no,15,3,4,80,0,18,2,3,4,2,0,3
39,no,travel_rarely,1329,sales,4,4,life sciences,1,4,female,47,2,2,sales executive,3,married,5902,14590,4,y,no,14,3,3,80,1,17,1,4,15,11,5,9
25,no,travel_rarely,959,sales,28,3,life sciences,1,1,male,41,2,2,sales executive,3,married,8639,24835,2,y,no,18,3,4,80,0,6,3,3,2,2,2,2
30,no,travel_rarely,1240,human resources,9,3,human resources,1,3,male,48,3,2,human resources,4,married,6347,13982,0,y,yes,19,3,4,80,0,12,2,1,11,9,4,7
45,no,travel_rarely,1316,research & development,29,3,medical,1,3,male,83,3,1,research scientist,4,single,3452,9752,5,y,no,13,3,2,80,0,9,2,2,6,5,0,3
30,no,travel_rarely,438,research & development,18,3,life sciences,1,1,female,75,3,1,research scientist,3,single,2632,23910,1,y,no,14,3,3,80,0,5,4,2,5,4,0,4
30,no,travel_rarely,201,research & development,5,3,technical degree,1,4,female,84,3,1,research scientist,1,divorced,3204,10415,5,y,no,14,3,4,80,1,8,3,3,3,2,2,2
30,no,travel_rarely,1427,research & development,2,1,medical,1,2,male,35,2,1,laboratory technician,4,single,2720,11162,0,y,no,13,3,4,80,0,6,3,3,5,3,1,2
19,no,travel_rarely,1181,research & development,3,1,medical,1,2,female,79,3,1,laboratory technician,2,single,1483,16102,1,y,no,14,3,4,80,0,1,3,3,1,0,0,0
35,no,travel_rarely,662,sales,1,5,marketing,1,3,male,94,3,3,sales executive,2,married,7295,11439,1,y,no,13,3,1,80,2,10,3,3,10,8,0,6
32,no,travel_frequently,967,sales,8,3,marketing,1,2,female,43,3,3,sales executive,4,single,8998,15589,1,y,no,14,3,4,80,0,9,2,3,9,8,3,7
29,no,non-travel,1496,research & development,1,1,technical degree,1,4,male,41,3,2,manufacturing director,3,married,4319,26283,1,y,no,13,3,1,80,1,10,1,3,10,7,0,9
51,no,travel_rarely,1169,research & development,7,4,medical,1,2,male,34,2,2,manufacturing director,3,married,6132,13983,2,y,no,17,3,3,80,0,10,2,3,1,0,0,0
40,no,travel_rarely,630,sales,4,4,marketing,1,3,male,67,2,3,sales executive,4,married,10855,8552,7,y,no,11,3,1,80,1,15,2,2,12,11,2,11
34,no,travel_frequently,303,sales,2,4,marketing,1,3,female,75,3,1,sales representative,3,married,2231,11314,6,y,no,18,3,4,80,1,6,3,3,4,3,1,2
27,no,non-travel,691,research & development,9,3,medical,1,4,male,57,3,1,research scientist,2,divorced,2024,5970,6,y,no,18,3,4,80,1,6,1,1,2,2,2,2
28,no,travel_rarely,440,research & development,21,3,medical,1,3,male,42,3,1,research scientist,4,married,2713,6672,1,y,no,11,3,3,80,1,5,2,1,5,2,0,2
57,no,travel_rarely,334,research & development,24,2,life sciences,1,3,male,83,4,3,healthcare representative,4,divorced,9439,23402,3,y,yes,16,3,2,80,1,12,2,1,5,3,1,4
27,no,non-travel,1450,research & development,3,3,medical,1,3,male,79,2,1,research scientist,3,divorced,2566,25326,1,y,yes,15,3,4,80,1,1,2,2,1,1,0,1
41,no,travel_rarely,465,research & development,14,3,life sciences,1,1,male,56,3,1,research scientist,3,divorced,2451,4609,4,y,no,12,3,1,80,1,13,2,3,9,8,1,8
30,no,travel_rarely,1339,sales,5,3,life sciences,1,2,female,41,3,3,sales executive,4,married,9419,8053,2,y,no,12,3,3,80,1,12,2,3,10,9,7,4
27,no,travel_rarely,1157,research & development,17,3,technical degree,1,3,male,51,3,1,research scientist,2,married,3058,13364,0,y,yes,16,3,4,80,1,6,3,2,5,2,1,1
36,no,travel_frequently,1480,research & development,3,2,medical,1,4,male,30,3,1,laboratory technician,2,single,2088,15062,4,y,no,12,3,3,80,0,13,3,2,8,7,7,2
30,no,non-travel,111,research & development,9,3,medical,1,3,male,66,3,2,laboratory technician,1,divorced,3072,11012,1,y,no,11,3,3,80,2,12,4,3,12,9,6,10
45,no,travel_rarely,1268,sales,4,2,life sciences,1,3,female,30,3,2,sales executive,1,divorced,5006,6319,4,y,yes,11,3,1,80,1,9,3,4,5,4,0,3
56,no,travel_rarely,713,research & development,8,3,life sciences,1,3,female,67,3,1,research scientist,1,divorced,4257,13939,4,y,yes,18,3,3,80,1,19,3,3,2,2,2,2
33,no,travel_rarely,134,research & development,2,3,life sciences,1,3,male,90,3,1,research scientist,4,single,2500,10515,0,y,no,14,3,1,80,0,4,2,4,3,1,0,2
38,no,travel_rarely,1380,research & development,9,2,life sciences,1,3,female,75,3,1,laboratory technician,4,single,2288,6319,1,y,no,12,3,3,80,0,2,3,3,2,2,2,1
34,no,travel_rarely,629,research & development,27,2,medical,1,4,female,95,3,1,research scientist,2,single,2311,5711,2,y,no,15,3,4,80,0,9,3,3,3,2,1,2
50,no,travel_rarely,328,research & development,1,3,medical,1,3,male,86,2,1,laboratory technician,3,married,3690,3425,2,y,no,15,3,4,80,1,5,2,2,3,2,0,2
53,no,travel_rarely,1084,research & development,13,2,medical,1,4,female,57,4,2,manufacturing director,1,divorced,4450,26250,1,y,no,11,3,3,80,2,5,3,3,4,2,1,3
34,no,travel_frequently,1069,research & development,2,1,life sciences,1,4,male,45,2,2,manufacturing director,3,married,9547,14074,1,y,no,17,3,3,80,0,10,2,2,10,9,1,9
27,no,travel_rarely,894,research & development,9,3,medical,1,4,female,99,3,1,research scientist,2,single,2279,11781,1,y,no,16,3,4,80,0,7,2,2,7,7,0,3
35,yes,travel_rarely,556,research & development,23,2,life sciences,1,2,male,50,2,2,manufacturing director,3,married,5916,15497,3,y,yes,13,3,1,80,0,8,1,3,1,0,0,1
37,no,travel_rarely,290,research & development,21,3,life sciences,1,2,male,65,4,1,research scientist,1,married,3564,22977,1,y,yes,12,3,1,80,1,8,3,2,8,7,1,7
38,no,travel_rarely,1084,research & development,29,3,technical degree,1,4,male,54,3,2,manufacturing director,4,married,6261,4185,3,y,no,18,3,1,80,1,9,3,1,7,7,1,7
27,no,travel_frequently,472,research & development,1,1,technical degree,1,3,male,60,2,2,manufacturing director,1,married,4298,9679,5,y,no,19,3,3,80,1,6,1,3,2,2,2,0
34,no,travel_frequently,878,research & development,10,4,medical,1,4,male,43,3,1,research scientist,3,divorced,3815,5972,1,y,yes,17,3,4,80,1,5,4,4,5,3,2,0
40,no,travel_rarely,905,research & development,19,2,medical,1,3,male,99,3,2,laboratory technician,4,married,2741,16523,8,y,yes,15,3,3,80,1,15,2,4,7,2,3,7
38,yes,travel_rarely,1180,research & development,29,1,medical,1,2,male,70,3,2,healthcare representative,1,married,6673,11354,7,y,yes,19,3,2,80,0,17,2,3,1,0,0,0
22,no,travel_rarely,1136,research & development,5,3,life sciences,1,4,male,60,4,1,research scientist,2,divorced,2328,12392,1,y,yes,16,3,1,80,1,4,2,2,4,2,2,2
36,no,travel_frequently,635,research & development,18,1,medical,1,2,female,73,3,1,laboratory technician,4,single,2153,7703,1,y,no,13,3,1,80,0,8,2,3,8,1,1,7
46,no,travel_rarely,644,research & development,1,4,medical,1,4,male,97,3,3,healthcare representative,1,divorced,9396,12368,7,y,no,16,3,3,80,1,17,3,3,4,2,0,3
27,no,travel_frequently,1242,sales,20,3,life sciences,1,4,female,90,3,2,sales executive,3,single,9981,12916,1,y,no,14,3,4,80,0,7,2,3,7,7,0,7
41,no,travel_rarely,896,sales,6,3,life sciences,1,4,female,75,3,3,manager,4,single,13591,14674,3,y,yes,18,3,3,80,0,16,3,3,1,0,0,0
29,yes,travel_rarely,992,research & development,1,3,technical degree,1,3,male,85,3,1,research scientist,3,single,2058,19757,0,y,no,14,3,4,80,0,7,1,2,6,2,1,5
54,no,travel_rarely,1147,sales,3,3,marketing,1,4,female,52,3,2,sales executive,1,married,5940,17011,2,y,no,14,3,4,80,1,16,4,3,6,2,0,5
36,no,travel_rarely,1396,research & development,5,2,life sciences,1,4,male,62,3,2,laboratory technician,2,single,5914,9945,8,y,no,16,3,4,80,0,16,3,4,13,11,3,7
31,no,non-travel,979,research & development,1,4,medical,1,3,male,90,1,2,manufacturing director,3,married,4345,4381,0,y,no,12,3,4,80,1,6,2,3,5,4,1,4
37,no,travel_frequently,319,sales,4,4,marketing,1,1,male,41,3,1,sales representative,4,divorced,2793,2539,4,y,no,17,3,3,80,1,13,2,3,9,8,5,8
35,no,travel_frequently,944,sales,1,3,marketing,1,3,female,92,3,3,sales executive,3,single,8789,9096,1,y,no,14,3,1,80,0,10,3,4,10,7,0,8
29,yes,travel_rarely,896,research & development,18,1,medical,1,3,male,86,2,1,research scientist,4,single,2389,14961,1,y,yes,13,3,3,80,0,4,3,2,4,3,0,1
52,no,travel_rarely,1323,research & development,2,3,life sciences,1,3,female,89,2,1,laboratory technician,4,single,3212,3300,7,y,no,15,3,2,80,0,6,3,2,2,2,2,2
59,no,travel_rarely,818,human resources,6,2,medical,1,2,male,52,3,1,human resources,3,married,2267,25657,8,y,no,17,3,4,80,0,7,2,2,2,2,2,2
33,yes,travel_rarely,813,research & development,14,3,medical,1,3,male,58,3,1,laboratory technician,4,married,2436,22149,5,y,yes,13,3,3,80,1,8,2,1,5,4,0,4
32,yes,travel_rarely,515,research & development,1,3,life sciences,1,4,male,62,2,1,laboratory technician,3,single,3730,9571,0,y,yes,14,3,4,80,0,4,2,1,3,2,1,2
32,no,non-travel,976,sales,26,4,marketing,1,3,male,100,3,2,sales executive,4,married,4465,12069,0,y,no,18,3,1,80,0,4,2,3,3,2,2,2
41,no,travel_rarely,1411,research & development,19,2,life sciences,1,3,male,36,3,2,research scientist,1,divorced,3072,19877,2,y,no,16,3,1,80,2,17,2,2,1,0,0,0
40,no,travel_rarely,1300,research & development,24,2,technical degree,1,1,male,62,3,2,research scientist,4,divorced,3319,24447,1,y,no,17,3,1,80,2,9,3,3,9,8,4,7
33,no,travel_rarely,832,research & development,5,4,life sciences,1,3,female,63,2,1,research scientist,4,married,2911,14776,1,y,no,13,3,3,80,1,2,2,2,2,2,0,2
34,no,travel_rarely,470,research & development,2,4,life sciences,1,4,male,84,2,2,manufacturing director,1,married,5957,23687,6,y,no,13,3,2,80,1,13,3,3,11,9,5,9
37,no,travel_rarely,1017,research & development,1,2,medical,1,3,female,83,2,1,research scientist,1,married,3920,18697,2,y,no,14,3,1,80,1,17,2,2,3,1,0,2
45,no,travel_frequently,1199,research & development,7,4,life sciences,1,1,male,77,4,2,manufacturing director,3,married,6434,5118,4,y,no,17,3,4,80,1,9,1,3,3,2,0,2
29,no,travel_rarely,665,research & development,15,3,life sciences,1,3,male,60,3,1,research scientist,4,single,2340,22673,1,y,no,19,3,1,80,0,6,1,3,6,5,1,5
42,no,travel_rarely,916,research & development,17,2,life sciences,1,4,female,82,4,2,research scientist,1,single,6545,23016,3,y,yes,13,3,3,80,0,10,1,3,3,2,0,2
29,no,travel_rarely,1247,sales,20,2,marketing,1,4,male,45,3,2,sales executive,4,divorced,6931,10732,2,y,no,14,3,4,80,1,10,2,3,3,2,0,2
25,no,travel_rarely,685,research & development,1,3,life sciences,1,1,female,62,3,2,manufacturing director,3,married,4898,7505,0,y,no,12,3,4,80,2,5,3,3,4,2,1,2
42,no,travel_rarely,269,research & development,2,3,medical,1,4,female,56,2,1,laboratory technician,1,divorced,2593,8007,0,y,yes,11,3,3,80,1,10,4,3,9,6,7,8
31,yes,travel_frequently,307,research & development,29,2,medical,1,3,male,71,2,1,laboratory technician,2,single,3479,11652,0,y,no,11,3,2,80,0,6,2,4,5,4,1,4
29,no,travel_rarely,1210,sales,2,3,medical,1,1,male,78,2,2,sales executive,2,married,6644,3687,2,y,no,19,3,2,80,2,10,2,3,0,0,0,0
25,no,non-travel,675,research & development,5,2,life sciences,1,2,male,85,4,2,healthcare representative,1,divorced,4000,18384,1,y,no,12,3,4,80,2,6,2,3,6,3,1,5
21,no,travel_rarely,996,research & development,3,2,medical,1,4,male,100,2,1,research scientist,3,single,3230,10531,1,y,no,17,3,1,80,0,3,4,4,3,2,1,0
37,no,non-travel,728,research & development,1,4,medical,1,1,female,80,3,3,research director,4,divorced,13603,11677,2,y,yes,18,3,1,80,2,15,2,3,5,2,0,2
29,no,travel_frequently,442,sales,2,2,life sciences,1,2,male,44,3,2,sales executive,4,single,4554,20260,1,y,no,18,3,1,80,0,10,3,2,10,7,0,9
55,no,travel_rarely,147,research & development,20,2,technical degree,1,2,male,37,3,2,laboratory technician,4,married,5415,15972,3,y,yes,19,3,4,80,1,12,4,3,10,7,0,8
26,no,travel_frequently,496,research & development,11,2,medical,1,1,male,60,3,2,healthcare representative,1,married,4741,22722,1,y,yes,13,3,3,80,1,5,3,3,5,3,3,3
37,no,travel_rarely,1372,research & development,1,3,life sciences,1,4,female,42,3,1,research scientist,4,single,2115,15881,1,y,no,12,3,2,80,0,17,3,3,17,12,5,7
26,yes,travel_rarely,1449,research & development,16,4,medical,1,1,male,45,3,1,laboratory technician,2,divorced,2373,14180,2,y,yes,13,3,4,80,1,5,2,3,3,2,0,2
36,no,travel_rarely,506,research & development,3,3,technical degree,1,3,male,30,3,2,research scientist,2,single,4485,26285,4,y,no,12,3,4,80,0,10,2,3,8,0,7,7
18,yes,travel_rarely,230,research & development,3,3,life sciences,1,3,male,54,3,1,laboratory technician,3,single,1420,25233,1,y,no,13,3,3,80,0,0,2,3,0,0,0,0
35,no,travel_rarely,1232,sales,16,3,marketing,1,3,male,96,3,3,sales executive,2,married,8020,5100,0,y,no,15,3,3,80,2,12,3,2,11,9,6,9
36,no,travel_frequently,566,research & development,18,4,life sciences,1,3,male,81,4,1,laboratory technician,4,married,3688,7122,4,y,no,18,3,4,80,2,4,2,3,1,0,0,0
51,no,travel_rarely,1302,research & development,2,3,medical,1,4,male,84,1,2,manufacturing director,2,divorced,5482,16321,5,y,no,18,3,4,80,1,13,3,3,4,1,1,2
18,no,travel_rarely,812,sales,10,3,medical,1,4,female,69,2,1,sales representative,3,single,1200,9724,1,y,no,12,3,1,80,0,0,2,3,0,0,0,0
28,no,travel_rarely,1476,research & development,16,2,medical,1,2,male,68,4,2,healthcare representative,1,single,5661,4824,0,y,no,19,3,3,80,0,9,2,3,8,3,0,7
31,no,travel_rarely,218,sales,7,3,technical degree,1,2,male,100,4,2,sales executive,4,married,6929,12241,4,y,no,11,3,2,80,1,10,3,2,8,7,7,7
36,no,non-travel,1105,research & development,24,4,life sciences,1,2,female,47,3,2,laboratory technician,2,married,5674,6927,7,y,no,15,3,3,80,1,11,3,3,9,8,0,8
32,no,travel_rarely,906,sales,7,3,life sciences,1,4,male,91,2,2,sales executive,3,married,5484,16985,1,y,no,14,3,3,80,1,13,3,2,13,8,4,8
38,no,travel_rarely,849,research & development,25,2,life sciences,1,1,female,81,2,3,research director,2,married,12061,26707,3,y,no,17,3,3,80,1,19,2,3,10,8,0,1
58,no,non-travel,390,research & development,1,4,life sciences,1,4,male,32,1,2,healthcare representative,3,divorced,5660,17056,2,y,yes,13,3,4,80,1,12,2,3,5,3,1,2
31,no,travel_rarely,691,research & development,5,4,technical degree,1,3,male,86,3,1,research scientist,4,married,4821,10077,0,y,yes,12,3,3,80,1,6,4,3,5,2,0,3
31,no,travel_rarely,106,human resources,2,3,human resources,1,1,male,62,2,2,human resources,1,married,6410,17822,3,y,no,12,3,4,80,0,9,1,3,2,2,1,0
31,no,travel_rarely,192,research & development,2,4,life sciences,1,3,male,32,3,1,research scientist,4,divorced,2695,7747,0,y,yes,18,3,2,80,1,3,2,1,2,2,2,2
49,no,travel_rarely,1091,research & development,1,2,technical degree,1,3,female,90,2,4,healthcare representative,3,single,13964,17810,7,y,yes,12,3,4,80,0,25,2,3,7,1,0,7
52,yes,travel_rarely,723,research & development,8,4,medical,1,3,male,85,2,2,research scientist,2,married,4941,17747,2,y,no,15,3,1,80,0,11,3,2,8,2,7,7
27,no,travel_rarely,1220,research & development,5,3,life sciences,1,3,female,85,3,1,research scientist,2,single,2478,20938,1,y,yes,12,3,2,80,0,4,2,2,4,3,1,2
27,no,travel_rarely,1377,sales,2,3,life sciences,1,4,male,74,3,2,sales executive,3,single,4478,5242,1,y,yes,11,3,1,80,0,5,3,3,5,4,0,4
